code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_group,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,completed_mooc
AAA,2013J,151358,2,London Region,3,80-90%,1,0-35,0,150,1,Pass,-44,1
AAA,2013J,155550,1,London Region,3,0-10%,2,35-55,0,420,1,Pass,-16,1
AAA,2013J,155854,2,East Midlands Region,3,20-30%,2,35-55,0,60,1,Pass,-54,1
AAA,2013J,155984,2,East Anglian Region,2,70-80%,1,0-35,0,60,1,Withdrawn,-64,0
AAA,2013J,157568,2,South West Region,3,90-100%,1,0-35,0,60,1,Pass,-52,1
AAA,2013J,159954,1,East Midlands Region,3,40-50%,2,35-55,0,60,1,Withdrawn,-46,0
AAA,2013J,164259,1,Scotland,3,70-80%,1,0-35,0,60,1,Pass,-64,1
AAA,2013J,167906,2,Yorkshire Region,3,40-50%,2,35-55,0,60,1,Pass,-117,1
AAA,2013J,168936,2,West Midlands Region,2,Oct-20,2,35-55,0,60,1,Pass,-32,1
AAA,2013J,172112,1,Ireland,,,2,35-55,0,60,1,Pass,-50,1
AAA,2013J,172797,2,Ireland,3,,2,35-55,0,60,1,Pass,-45,1
AAA,2013J,174782,1,East Anglian Region,,90-100%,3,55<=,0,60,1,Pass,-162,1
AAA,2013J,175392,1,North Region,,,2,35-55,0,60,1,Pass,-195,1
AAA,2013J,175932,1,North Western Region,,70-80%,2,35-55,0,60,1,Pass,-92,1
AAA,2013J,175991,2,North Western Region,3,80-90%,1,0-35,0,180,1,Fail,-57,1
AAA,2013J,180753,1,South West Region,3,30-40%,1,0-35,0,120,1,Pass,-64,1
AAA,2013J,181316,2,South West Region,3,80-90%,2,35-55,0,120,1,Withdrawn,-39,0
AAA,2013J,183096,2,South West Region,3,60-70%,1,0-35,0,60,1,Pass,-128,1
AAA,2013J,183947,1,London Region,3,Oct-20,1,0-35,0,180,1,Pass,-32,1
AAA,2013J,184271,1,South West Region,,80-90%,2,35-55,0,170,1,Pass,-74,1
AAA,2013J,185439,1,London Region,,Oct-20,1,0-35,0,120,1,Fail,-12,1
AAA,2013J,186149,1,Scotland,,30-40%,2,35-55,0,60,1,Pass,-109,1
AAA,2013J,187100,1,South East Region,3,50-60%,2,35-55,0,60,1,Distinction,-136,1
AAA,2013J,188278,1,Yorkshire Region,3,70-80%,2,35-55,0,120,1,Withdrawn,-57,0
AAA,2013J,189879,1,Scotland,3,90-100%,1,0-35,0,120,1,Pass,-180,1
AAA,2013J,192183,2,South West Region,2,90-100%,1,0-35,0,60,1,Pass,-62,1
AAA,2013J,195262,1,London Region,3,90-100%,1,0-35,0,60,1,Withdrawn,-45,0
AAA,2013J,200860,1,London Region,2,50-60%,2,35-55,0,60,1,Pass,-54,1
AAA,2013J,202635,2,Wales,3,30-40%,1,0-35,0,60,1,Withdrawn,-73,0
AAA,2013J,205350,1,South West Region,,80-90%,2,35-55,0,60,1,Pass,-68,1
AAA,2013J,205719,1,East Anglian Region,3,40-50%,1,0-35,0,90,2,Fail,-51,1
AAA,2013J,227499,2,London Region,3,Oct-20,2,35-55,0,60,1,Distinction,-169,1
AAA,2013J,227517,1,Ireland,,,1,0-35,0,180,1,Fail,-172,1
AAA,2013J,228082,1,London Region,,60-70%,1,0-35,0,60,1,Pass,-31,1
AAA,2013J,228222,1,East Midlands Region,2,50-60%,1,0-35,0,60,1,Pass,-108,1
AAA,2013J,229179,1,West Midlands Region,3,20-30%,1,0-35,0,60,1,Pass,-165,1
AAA,2013J,229361,1,East Midlands Region,3,50-60%,1,0-35,0,60,1,Pass,-58,1
AAA,2013J,231554,1,London Region,3,40-50%,1,0-35,0,240,1,Pass,-29,1
AAA,2013J,235507,1,Yorkshire Region,3,90-100%,1,0-35,0,240,1,Withdrawn,-79,0
AAA,2013J,236284,1,Scotland,5,90-100%,1,0-35,0,60,1,Pass,2,1
AAA,2013J,238007,1,South Region,,90-100%,3,55<=,0,60,1,Pass,-151,1
AAA,2013J,240712,1,London Region,,80-90%,1,0-35,0,80,1,Pass,-45,1
AAA,2013J,240884,1,South Region,3,90-100%,1,0-35,0,120,1,Pass,-47,1
AAA,2013J,241649,1,East Anglian Region,,90-100%,2,35-55,0,60,1,Pass,-50,1
AAA,2013J,241729,2,East Midlands Region,,60-70%,2,35-55,0,60,1,Fail,-31,1
AAA,2013J,242793,1,London Region,,20-30%,2,35-55,0,60,1,Pass,-36,1
AAA,2013J,246834,1,South West Region,3,90-100%,2,35-55,0,60,1,Pass,-16,1
AAA,2013J,248270,1,North Western Region,2,20-30%,1,0-35,0,90,1,Pass,-198,1
AAA,2013J,255548,1,Wales,2,20-30%,2,35-55,0,60,1,Pass,-103,1
AAA,2013J,256815,1,North Western Region,,Oct-20,1,0-35,0,120,1,Pass,-117,1
AAA,2013J,258392,2,West Midlands Region,2,30-40%,1,0-35,0,60,1,Pass,-68,1
AAA,2013J,258894,2,East Anglian Region,2,70-80%,2,35-55,0,60,1,Pass,-172,1
AAA,2013J,260355,2,London Region,3,80-90%,2,35-55,0,60,1,Withdrawn,-186,0
AAA,2013J,262011,1,East Midlands Region,3,20-30%,2,35-55,0,60,1,Pass,-145,1
AAA,2013J,262934,2,North Western Region,3,30-40%,2,35-55,0,60,1,Pass,-191,1
AAA,2013J,268073,1,East Anglian Region,3,Oct-20,2,35-55,0,90,1,Fail,-33,1
AAA,2013J,268733,1,East Anglian Region,3,30-40%,1,0-35,0,180,1,Withdrawn,-17,0
AAA,2013J,271251,1,Scotland,3,80-90%,2,35-55,0,60,1,Pass,-68,1
AAA,2013J,277880,2,South East Region,3,60-70%,1,0-35,0,60,1,Withdrawn,-108,0
AAA,2013J,279572,1,London Region,2,40-50%,1,0-35,0,60,1,Distinction,-138,1
AAA,2013J,281022,2,Scotland,3,30-40%,1,0-35,0,150,1,Pass,-74,1
AAA,2013J,281250,1,Wales,2,70-80%,2,35-55,0,60,1,Fail,-64,1
AAA,2013J,281589,1,North Western Region,,30-40%,1,0-35,0,60,1,Fail,-50,1
AAA,2013J,282821,1,South West Region,3,30-40%,2,35-55,0,60,1,Pass,-107,1
AAA,2013J,286488,1,South East Region,3,90-100%,2,35-55,0,60,1,Pass,-8,1
AAA,2013J,287548,1,East Anglian Region,3,90-100%,1,0-35,0,120,1,Pass,-52,1
AAA,2013J,290201,1,Wales,3,20-30%,1,0-35,0,60,1,Pass,-96,1
AAA,2013J,290757,1,North Western Region,3,30-40%,1,0-35,0,60,1,Pass,-141,1
AAA,2013J,291334,1,South East Region,3,90-100%,2,35-55,0,60,1,Distinction,-132,1
AAA,2013J,292923,2,South East Region,3,90-100%,2,35-55,0,180,1,Withdrawn,-162,0
AAA,2013J,293699,1,East Midlands Region,3,70-80%,1,0-35,0,120,1,Pass,-27,1
AAA,2013J,294570,1,South East Region,,90-100%,3,55<=,0,60,1,Pass,-80,1
AAA,2013J,294594,1,South East Region,3,90-100%,1,0-35,0,60,1,Pass,-145,1
AAA,2013J,295741,1,South East Region,3,40-50%,2,35-55,0,240,1,Fail,-17,1
AAA,2013J,296332,1,South Region,5,90-100%,3,55<=,0,60,1,Distinction,-115,1
AAA,2013J,298696,2,South East Region,,80-90%,1,0-35,0,60,1,Pass,-32,1
AAA,2013J,300398,1,West Midlands Region,3,30-40%,2,35-55,0,60,1,Pass,-59,1
AAA,2013J,302302,2,East Anglian Region,3,40-50%,1,0-35,0,60,1,Fail,-83,1
AAA,2013J,305152,1,North Western Region,3,70-80%,1,0-35,0,60,1,Fail,-18,1
AAA,2013J,305386,1,West Midlands Region,3,70-80%,1,0-35,0,120,2,Pass,-66,1
AAA,2013J,305539,2,Wales,2,80-90%,1,0-35,0,120,1,Withdrawn,-54,0
AAA,2013J,306107,1,West Midlands Region,3,50-60%,2,35-55,0,120,1,Pass,-107,1
AAA,2013J,306466,1,East Anglian Region,3,90-100%,2,35-55,0,60,1,Pass,-58,1
AAA,2013J,306897,2,London Region,3,Oct-20,1,0-35,0,60,1,Pass,-123,1
AAA,2013J,307061,2,East Midlands Region,,Oct-20,1,0-35,0,60,1,Pass,-31,1
AAA,2013J,307866,1,West Midlands Region,3,70-80%,1,0-35,0,60,1,Pass,-107,1
AAA,2013J,311917,1,South West Region,3,60-70%,3,55<=,0,120,1,Pass,-121,1
AAA,2013J,312537,1,South Region,5,90-100%,3,55<=,0,60,1,Distinction,-79,1
AAA,2013J,312782,1,South Region,3,90-100%,1,0-35,0,60,1,Pass,-59,1
AAA,2013J,318933,2,East Anglian Region,,80-90%,1,0-35,0,120,1,Pass,-100,1
AAA,2013J,319047,2,East Midlands Region,3,50-60%,1,0-35,0,60,1,Pass,-47,1
AAA,2013J,321942,1,South Region,,90-100%,3,55<=,0,60,1,Pass,-67,1
AAA,2013J,324002,1,East Anglian Region,,40-50%,2,35-55,0,60,1,Pass,-32,1
AAA,2013J,324084,2,South West Region,3,Oct-20,2,35-55,0,60,1,Pass,-165,1
AAA,2013J,324282,1,South East Region,3,90-100%,1,0-35,0,120,1,Pass,-32,1
AAA,2013J,331358,2,South Region,,90-100%,2,35-55,0,60,1,Withdrawn,-67,0
AAA,2013J,332789,2,East Anglian Region,3,60-70%,2,35-55,0,60,1,Pass,-64,1
AAA,2013J,333059,1,Scotland,3,20-30%,1,0-35,0,120,1,Pass,-103,1
AAA,2013J,333323,1,Scotland,,80-90%,1,0-35,0,60,1,Pass,-53,1
AAA,2013J,334259,2,London Region,3,50-60%,1,0-35,0,150,1,Fail,-32,1
AAA,2013J,334333,2,South West Region,3,0-10%,1,0-35,0,240,2,Withdrawn,-192,0
AAA,2013J,335764,2,South East Region,3,20-30%,1,0-35,0,60,1,Withdrawn,-196,0
AAA,2013J,336207,1,East Anglian Region,3,90-100%,1,0-35,0,120,1,Pass,-110,1
AAA,2013J,339972,1,North Region,3,80-90%,1,0-35,0,60,1,Pass,-57,1
AAA,2013J,341872,1,East Anglian Region,2,40-50%,1,0-35,0,180,1,Fail,48,1
AAA,2013J,342007,2,West Midlands Region,,70-80%,1,0-35,0,60,1,Withdrawn,-71,0
AAA,2013J,342514,1,Scotland,2,50-60%,3,55<=,0,60,1,Pass,-81,1
AAA,2013J,342972,1,Yorkshire Region,,0-10%,1,0-35,0,60,1,Pass,-60,1
AAA,2013J,343446,1,Ireland,,70-80%,2,35-55,0,120,1,Pass,-49,1
AAA,2013J,344282,1,Yorkshire Region,3,Oct-20,1,0-35,0,60,1,Fail,-12,1
AAA,2013J,345068,1,East Anglian Region,3,60-70%,1,0-35,0,180,2,Pass,-37,1
AAA,2013J,345357,1,Yorkshire Region,3,30-40%,1,0-35,0,60,1,Distinction,-18,1
AAA,2013J,346025,1,East Anglian Region,3,50-60%,1,0-35,0,120,1,Pass,-75,1
AAA,2013J,346843,2,Scotland,,50-60%,2,35-55,0,120,1,Fail,-44,1
AAA,2013J,350188,1,North Western Region,,80-90%,2,35-55,0,60,1,Pass,-49,1
AAA,2013J,354858,1,South Region,,90-100%,2,35-55,0,120,1,Withdrawn,-32,0
AAA,2013J,357668,1,Yorkshire Region,3,Oct-20,1,0-35,0,60,1,Fail,-38,1
AAA,2013J,364177,1,East Anglian Region,2,70-80%,2,35-55,0,60,1,Fail,-129,1
AAA,2013J,365244,2,London Region,3,0-10%,1,0-35,0,120,1,Pass,-38,1
AAA,2013J,365642,1,East Anglian Region,2,Oct-20,2,35-55,0,60,1,Pass,-52,1
AAA,2013J,366483,1,South West Region,,40-50%,1,0-35,0,60,1,Pass,-4,1
AAA,2013J,368194,2,South West Region,3,50-60%,1,0-35,0,120,2,Pass,-123,1
AAA,2013J,368824,1,Wales,,50-60%,2,35-55,0,120,1,Fail,-60,1
AAA,2013J,368963,1,Yorkshire Region,2,0-10%,1,0-35,0,180,1,Pass,-19,1
AAA,2013J,376439,1,North Region,,,1,0-35,0,60,1,Distinction,-87,1
AAA,2013J,376581,2,South Region,3,80-90%,2,35-55,0,60,1,Pass,-64,1
AAA,2013J,380953,1,East Midlands Region,3,80-90%,1,0-35,0,60,1,Pass,-155,1
AAA,2013J,383254,1,Yorkshire Region,3,90-100%,1,0-35,0,120,1,Pass,-61,1
AAA,2013J,386924,1,Ireland,2,,1,0-35,0,120,1,Pass,-192,1
AAA,2013J,386952,1,Yorkshire Region,3,70-80%,1,0-35,0,120,1,Pass,-38,1
AAA,2013J,388722,2,London Region,2,80-90%,2,35-55,0,60,1,Pass,-179,1
AAA,2013J,388885,1,South West Region,3,90-100%,2,35-55,0,60,1,Pass,-185,1
AAA,2013J,390890,1,Scotland,3,0-10%,1,0-35,0,90,1,Withdrawn,-31,0
AAA,2013J,392756,1,West Midlands Region,3,70-80%,1,0-35,0,120,1,Fail,-58,1
AAA,2013J,392931,2,North Western Region,3,50-60%,2,35-55,0,120,1,Pass,-54,1
AAA,2013J,393207,1,North Western Region,3,60-70%,1,0-35,0,60,1,Pass,-38,1
AAA,2013J,396872,1,Yorkshire Region,,50-60%,1,0-35,0,180,1,Pass,-23,1
AAA,2013J,398552,1,Yorkshire Region,2,90-100%,1,0-35,0,240,1,Fail,-57,1
AAA,2013J,401869,2,South East Region,2,80-90%,1,0-35,0,60,1,Pass,-53,1
AAA,2013J,402470,1,South West Region,2,50-60%,2,35-55,0,60,1,Pass,-130,1
AAA,2013J,404804,1,Wales,2,20-30%,2,35-55,0,120,1,Pass,-129,1
AAA,2013J,405088,1,North Region,3,20-30%,1,0-35,0,120,1,Pass,-67,1
AAA,2013J,405961,1,Scotland,3,90-100%,1,0-35,0,240,2,Withdrawn,-170,0
AAA,2013J,414117,1,Yorkshire Region,3,50-60%,1,0-35,0,120,1,Pass,-73,1
AAA,2013J,415969,1,West Midlands Region,,0-10%,2,35-55,0,90,1,Withdrawn,-60,0
AAA,2013J,420087,1,Scotland,3,40-50%,1,0-35,0,60,2,Fail,-15,1
AAA,2013J,429958,2,North Western Region,3,70-80%,1,0-35,0,60,1,Pass,-58,1
AAA,2013J,441018,2,South East Region,3,70-80%,1,0-35,0,150,1,Pass,-52,1
AAA,2013J,441888,1,London Region,3,20-30%,1,0-35,0,120,1,Pass,-53,1
AAA,2013J,442442,1,South West Region,,80-90%,1,0-35,0,120,1,Withdrawn,-32,0
AAA,2013J,444677,1,London Region,,30-40%,1,0-35,0,60,1,Distinction,-38,1
AAA,2013J,470588,1,South East Region,,90-100%,2,35-55,0,60,1,Withdrawn,-43,0
AAA,2013J,489455,2,South West Region,3,20-30%,1,0-35,0,60,1,Pass,-120,1
AAA,2013J,494424,2,North Region,3,80-90%,1,0-35,0,60,1,Fail,-38,1
AAA,2013J,495284,1,South East Region,,80-90%,1,0-35,0,120,1,Pass,-29,1
AAA,2013J,498857,1,North Western Region,,80-90%,2,35-55,0,60,1,Pass,-16,1
AAA,2013J,508818,1,London Region,3,40-50%,1,0-35,0,120,1,Pass,-156,1
AAA,2013J,512460,1,South East Region,,90-100%,1,0-35,0,120,1,Pass,-32,1
AAA,2013J,544103,1,North Western Region,,40-50%,1,0-35,0,120,1,Pass,-127,1
AAA,2013J,550383,1,South East Region,,60-70%,1,0-35,0,60,1,Pass,-51,1
AAA,2013J,564450,1,West Midlands Region,,80-90%,1,0-35,0,120,1,Fail,-43,1
AAA,2013J,568601,2,Scotland,,30-40%,1,0-35,0,60,1,Withdrawn,-30,0
AAA,2013J,572652,1,West Midlands Region,,70-80%,1,0-35,0,120,1,Pass,-158,1
AAA,2013J,580389,1,Ireland,,90-100%,1,0-35,0,120,1,Pass,-22,1
AAA,2013J,581129,1,East Anglian Region,3,30-40%,1,0-35,0,120,1,Fail,-38,1
AAA,2013J,588775,1,South West Region,3,90-100%,1,0-35,0,120,1,Pass,-17,1
AAA,2013J,591774,1,South Region,5,90-100%,2,35-55,0,60,1,Pass,-46,1
AAA,2013J,603861,1,North Region,,,3,55<=,0,60,1,Withdrawn,-38,0
AAA,2013J,606143,1,Scotland,5,90-100%,2,35-55,0,60,1,Fail,-43,1
AAA,2013J,704156,1,South Region,,90-100%,3,55<=,0,120,1,Pass,-29,1
AAA,2013J,705379,1,West Midlands Region,3,60-70%,3,55<=,0,120,1,Distinction,-57,1
AAA,2013J,721259,2,South Region,2,50-60%,3,55<=,0,120,1,Withdrawn,-73,0
AAA,2013J,749412,1,South Region,2,70-80%,3,55<=,0,60,1,Pass,-138,1
AAA,2013J,760729,1,West Midlands Region,3,60-70%,3,55<=,0,60,1,Distinction,-67,1
AAA,2013J,905042,2,East Anglian Region,3,90-100%,2,35-55,0,60,1,Pass,-91,1
AAA,2013J,949618,2,South West Region,3,50-60%,2,35-55,0,60,1,Pass,-59,1
AAA,2013J,958987,1,North Western Region,,40-50%,2,35-55,0,60,1,Pass,-67,1
AAA,2013J,968578,2,East Anglian Region,3,40-50%,2,35-55,0,60,1,Pass,-170,1
AAA,2013J,969076,1,South West Region,3,80-90%,2,35-55,0,180,1,Withdrawn,-42,0
AAA,2013J,971027,2,West Midlands Region,,90-100%,2,35-55,0,60,1,Pass,-62,1
AAA,2013J,978739,1,South Region,,90-100%,2,35-55,0,60,1,Pass,-108,1
AAA,2013J,1035023,2,London Region,2,30-40%,2,35-55,0,60,1,Pass,-87,1
AAA,2013J,1105478,1,Scotland,,80-90%,3,55<=,0,60,1,Pass,-144,1
AAA,2013J,1352868,1,Yorkshire Region,3,20-30%,2,35-55,0,60,1,Withdrawn,-63,0
AAA,2013J,1401935,1,West Midlands Region,3,70-80%,2,35-55,0,60,1,Fail,-35,1
AAA,2013J,1402638,2,East Midlands Region,,30-40%,2,35-55,0,60,1,Pass,-195,1
AAA,2013J,1414443,2,Yorkshire Region,3,Oct-20,2,35-55,0,120,1,Fail,-169,1
AAA,2013J,1456619,1,South West Region,3,90-100%,2,35-55,0,60,1,Withdrawn,-87,0
AAA,2013J,1465690,1,West Midlands Region,,40-50%,2,35-55,0,120,1,Pass,-38,1
AAA,2013J,1472925,2,East Anglian Region,2,40-50%,2,35-55,0,60,2,Fail,20,1
AAA,2013J,1488959,1,London Region,3,70-80%,2,35-55,0,60,1,Pass,-30,1
AAA,2013J,1518989,2,South East Region,2,80-90%,2,35-55,0,60,1,Pass,-102,1
AAA,2013J,1618738,1,London Region,2,90-100%,2,35-55,0,60,1,Pass,-95,1
AAA,2013J,1620151,1,South Region,,90-100%,2,35-55,0,60,1,Fail,-95,1
AAA,2013J,1626710,1,North Western Region,3,60-70%,2,35-55,0,60,1,Distinction,-195,1
AAA,2013J,1640609,1,West Midlands Region,3,30-40%,2,35-55,0,60,1,Pass,-191,1
AAA,2013J,1686521,2,North Western Region,2,50-60%,2,35-55,0,60,1,Withdrawn,-124,0
AAA,2013J,1729319,2,Scotland,,40-50%,2,35-55,0,60,1,Pass,-106,1
AAA,2013J,1746134,1,East Anglian Region,3,60-70%,2,35-55,0,60,1,Pass,-30,1
AAA,2013J,1758449,1,South Region,2,30-40%,2,35-55,0,75,1,Withdrawn,-198,0
AAA,2013J,1763015,2,Scotland,3,Oct-20,2,35-55,0,60,1,Withdrawn,-58,0
AAA,2013J,1765788,1,South East Region,,70-80%,3,55<=,0,60,1,Pass,-43,1
AAA,2013J,1801229,1,Ireland,,,2,35-55,0,60,1,Pass,-106,1
AAA,2013J,1801641,1,Scotland,3,30-40%,2,35-55,0,60,1,Pass,-32,1
AAA,2013J,1847830,1,South West Region,2,40-50%,2,35-55,0,60,1,Pass,-164,1
AAA,2013J,1860318,1,South West Region,2,40-50%,2,35-55,0,300,2,Pass,-53,1
AAA,2013J,1889511,1,Yorkshire Region,3,50-60%,2,35-55,0,60,1,Pass,-42,1
AAA,2013J,1889577,2,South Region,3,70-80%,2,35-55,0,60,2,Pass,-81,1
AAA,2013J,1894188,2,East Midlands Region,3,80-90%,1,0-35,0,60,1,Pass,-57,1
AAA,2013J,1938355,1,South Region,3,90-100%,2,35-55,0,60,1,Pass,-102,1
AAA,2013J,1942396,2,East Anglian Region,2,40-50%,2,35-55,0,120,2,Pass,-29,1
AAA,2013J,1970390,1,West Midlands Region,2,0-10%,2,35-55,0,60,1,Withdrawn,-108,0
AAA,2013J,1976139,1,Ireland,2,50-60%,2,35-55,0,120,1,Pass,-195,1
AAA,2013J,2011876,2,East Anglian Region,3,90-100%,1,0-35,0,60,2,Pass,-32,1
AAA,2013J,2012966,1,North Western Region,2,30-40%,2,35-55,0,60,1,Pass,-102,1
AAA,2013J,2051699,2,South West Region,2,70-80%,2,35-55,0,60,1,Pass,-137,1
AAA,2013J,2062879,2,East Anglian Region,3,60-70%,1,0-35,0,60,1,Fail,-74,1
AAA,2013J,2065691,1,London Region,3,30-40%,2,35-55,0,330,2,Withdrawn,-16,0
AAA,2013J,2073016,2,London Region,2,30-40%,2,35-55,0,60,1,Withdrawn,-65,0
AAA,2013J,2080474,2,South Region,3,90-100%,2,35-55,0,60,1,Pass,-123,1
AAA,2013J,2083877,2,West Midlands Region,3,0-10%,1,0-35,0,120,1,Pass,-45,1
AAA,2013J,2084066,2,South West Region,2,50-60%,2,35-55,0,60,1,Fail,-148,1
AAA,2013J,2104505,1,West Midlands Region,2,0-10%,2,35-55,0,60,1,Pass,-65,1
AAA,2013J,2122180,2,North Western Region,2,80-90%,2,35-55,0,60,1,Distinction,-35,1
AAA,2013J,2139353,1,London Region,3,50-60%,2,35-55,0,120,1,Withdrawn,-59,0
AAA,2013J,2143752,2,South Region,2,70-80%,2,35-55,0,60,1,Pass,-46,1
AAA,2013J,2146792,1,North Western Region,,20-30%,3,55<=,0,60,1,Pass,-59,1
AAA,2013J,2149225,1,Scotland,3,70-80%,2,35-55,0,60,2,Withdrawn,-36,0
AAA,2013J,2153153,2,Yorkshire Region,3,40-50%,1,0-35,0,60,1,Pass,-49,1
AAA,2013J,2155014,2,West Midlands Region,2,80-90%,1,0-35,0,60,2,Pass,-32,1
AAA,2013J,2164705,2,North Western Region,3,40-50%,1,0-35,0,120,1,Fail,-43,1
AAA,2013J,2171627,2,Yorkshire Region,3,30-40%,2,35-55,0,60,1,Pass,-50,1
AAA,2013J,2182846,2,London Region,3,70-80%,2,35-55,0,60,1,Pass,-113,1
AAA,2013J,2194100,2,East Anglian Region,3,50-60%,2,35-55,0,60,1,Pass,-108,1
AAA,2013J,2197016,2,North Western Region,,30-40%,2,35-55,0,60,1,Pass,-35,1
AAA,2013J,2208424,1,Scotland,3,20-30%,1,0-35,0,60,1,Pass,-66,1
